,V1,V2,V3,V4,V6,V7
61,3925.571354,0,33,8,3925.571354,3728.201038
62,3512.67962,0,24,17,3512.67962,3318.879423
63,3304.186134,0,16,33,3304.186134,3124.547595
64,4501.978965,0,38,35,4501.978965,4450.897828
65,3806.965375,0,28,30,3806.965375,3678.293158
66,3472.488926,0,21,30,3472.488926,3296.715787
67,3975.717265,0,32,21,3975.717265,3842.640935
68,3767.574918,0,26,40,3767.574918,3662.315993
69,3441.861474,0,20,32,3441.861474,3300.322511
70,3787.11149,0,29,20,3787.11149,3624.742685
71,3770.776477,0,31,5,3770.776477,3602.603877
72,3606.264709,0,17,74,3606.264709,3568.656501
73,4127.328976,0,34,24,4127.328976,3985.484466
74,3575.081888,0,19,57,3575.081888,3481.755269
75,4701.900452,0,40,40,4701.900452,4670.900409
76,3831.608315,0,28,35,3831.608315,3735.421347
77,3636.95737,0,25,27,3636.95737,3491.500507
78,3808.382987,0,31,9,3808.382987,3614.189357
79,4028.398469,0,32,30,4028.398469,3908.370271
80,3747.720102,0,21,70,3747.720102,3709.01404
81,3756.700936,0,28,25,3756.700936,3618.703715
82,4358.99819,1,36,41,4405.038969,4358.99819
83,4042.381128,0,28,60,4042.381128,4018.137993
84,3538.363134,1,25,34,3672.089952,3538.363134
85,3338.197337,1,19,40,3463.193718,3338.197337
86,4144.204647,0,32,42,4144.204647,4070.8336
87,4084.774949,0,33,28,4084.774949,3968.291821
88,4346.414502,0,38,19,4346.414502,4204.198586
89,3949.24577,0,31,25,3949.24577,3776.876432
90,3369.674595,0,17,35,3369.674595,3173.113868
91,3981.553413,0,31,34,3981.553413,3923.777494
92,4274.774457,0,32,56,4274.774457,4254.134995
93,3732.072567,0,25,40,3732.072567,3624.14573
94,3854.490989,0,29,26,3854.490989,3714.186686
95,4018.967508,1,31,42,4098.613708,4018.967508
96,3568.893084,0,23,30,3568.893084,3415.019377
97,3220.448553,0,18,10,3220.448553,2983.435427
98,3619.130418,0,21,50,3619.130418,3500.362328
99,4520.941226,0,37,45,4520.941226,4509.431281
100,3618.823251,0,24,33,3618.823251,3459.318582
101,3686.614361,0,25,34,3686.614361,3551.868773
102,3539.732797,0,23,27,3539.732797,3362.025968
103,4123.877513,0,31,46,4123.877513,4048.680871
104,3949.919237,1,29,48,4017.922631,3949.919237
105,3564.935941,0,26,13,3564.935941,3369.558146
106,3763.743551,0,27,32,3763.743551,3642.559573
107,4294.019829,0,34,45,4294.019829,4288.128084
108,4031.33635,0,28,60,4031.33635,4023.606021
109,4169.6318,0,33,39,4169.6318,4135.966485
110,4130.722388,0,32,40,4130.722388,4032.583315
111,3756.249091,0,27,31,3756.249091,3632.465001
112,3591.651192,0,23,35,3591.651192,3452.925968
113,4076.799912,0,31,42,4076.799912,4009.614164
114,3592.588548,0,23,35,3592.588548,3466.213546
115,4004.335713,0,30,40,4004.335713,3916.499007
116,4008.519771,0,32,25,4008.519771,3881.450642
117,3860.022536,0,31,15,3860.022536,3679.56688
118,4315.57986,0,36,29,4315.57986,4211.906429
119,3599.55107,0,19,60,3599.55107,3513.364115
120,4124.739373,0,32,40,4124.739373,4066.450289
121,3855.53695,0,30,21,3855.53695,3699.182565
122,3718.738645,0,22,60,3718.738645,3662.864197
123,4550.68632,0,40,21,4550.68632,4412.436472
124,3326.475318,0,17,28,3326.475318,3125.172444
125,4593.476227,0,36,62,4593.476227,4655.487225
126,3745.236449,0,29,16,3745.236449,3593.52467
127,3938.577927,0,32,17,3938.577927,3768.205663
128,4307.594603,0,34,45,4307.594603,4251.435851
129,3347.978353,0,15,42,3347.978353,3183.231301
130,3689.572855,0,26,28,3689.572855,3531.670789
131,3417.007622,1,18,54,3528.257535,3417.007622
132,3691.467059,0,28,15,3691.467059,3476.75929
133,3171.808496,1,18,30,3359.814363,3171.808496
134,4311.597857,0,36,30,4311.597857,4235.650405
135,3784.542064,0,25,47,3784.542064,3704.047198
136,3896.39402,0,31,20,3896.39402,3749.936417
137,4179.533076,0,32,46,4179.533076,4111.345677
138,3707.384003,0,26,30,3707.384003,3586.611555
139,3798.621783,0,29,22,3798.621783,3641.766143
140,3670.205495,0,25,34,3670.205495,3559.151568
141,3487.61474,0,20,40,3487.61474,3354.868762
142,3322.696513,1,18,45,3452.536497,3322.696513
143,3522.990045,0,23,25,3522.990045,3355.757125
144,4118.454363,0,34,23,4118.454363,3979.031982
145,3717.53229,0,26,32,3717.53229,3608.386058
146,4281.167802,0,35,35,4281.167802,4196.507333
147,3440.026526,0,21,27,3440.026526,3264.011519
148,3440.189164,0,21,25,3440.189164,3256.642631
149,4334.042776,0,35,42,4334.042776,4302.894749
150,4266.167302,0,33,49,4266.167302,4255.919757
151,3828.667445,0,20,85,3828.667445,3798.055508
152,3584.439819,0,23,32,3584.439819,3405.327524
153,3906.922045,0,29,33,3906.922045,3757.143705
154,3783.09088,0,28,27,3783.09088,3627.781994
155,4583.100907,0,41,20,4583.100907,4497.112507
156,3989.960795,0,33,16,3989.960795,3840.601734
157,4897.374135,0,44,25,4897.374135,4831.888892
158,3852.969981,0,26,52,3852.969981,3775.423908
159,3769.2728,0,29,18,3769.2728,3595.347015
160,3623.024149,0,25,26,3623.024149,3470.493582
161,3238.733219,1,18,37,3408.862,3238.733219
162,3779.328175,0,29,19,3779.328175,3603.137151
163,4569.365854,0,39,35,4569.365854,4521.081437
164,4003.063987,0,30,40,4003.063987,3936.526655
165,4115.258925,0,34,25,4115.258925,3995.993483
166,3731.907751,0,23,51,3731.907751,3627.401502
167,3504.960759,0,22,29,3504.960759,3348.185477
168,3498.394085,0,23,24,3498.394085,3336.921722
169,3353.851766,1,17,53,3480.79737,3353.851766
170,3940.720606,0,31,25,3940.720606,3819.063254
171,3468.061715,1,20,50,3570.189864,3468.061715
172,3408.568396,0,18,37,3408.568396,3246.463813
173,4332.839184,0,35,39,4332.839184,4264.87627
174,3619.710257,0,23,40,3619.710257,3486.194683
175,3519.610165,0,21,38,3519.610165,3420.51536
176,3825.887378,0,28,34,3825.887378,3731.11203
177,3279.373943,0,15,32,3279.373943,3108.569144
178,3772.257757,0,25,47,3772.257757,3734.641091
179,3318.038458,1,22,26,3481.096553,3318.038458
180,3982.999959,0,31,29,3982.999959,3832.311519
181,3548.642147,0,23,29,3548.642147,3401.646761
182,3943.354368,0,30,32,3943.354368,3820.98316
183,3996.742794,0,31,32,3996.742794,3891.395606
184,4058.399547,0,31,40,4058.399547,3992.150684
185,3479.430787,0,23,19,3479.430787,3285.823647
186,3554.999106,1,24,40,3664.601267,3554.999106
187,4749.916406,0,40,47,4749.916406,4781.287677
188,3570.580723,0,20,50,3570.580723,3493.553906
189,3637.37111,0,25,28,3637.37111,3480.173623
190,4092.429927,0,32,36,4092.429927,3991.885741
191,4001.6243,0,31,32,4001.6243,3887.013995
192,3354.312091,1,21,36,3518.943318,3354.312091
193,3836.009461,0,29,27,3836.009461,3699.023271
194,3565.997402,0,23,32,3565.997402,3407.422213
195,3620.850072,0,26,20,3620.850072,3444.602738
196,3486.141133,0,22,26,3486.141133,3311.503673
197,3586.182144,0,15,82,3586.182144,3529.951157
198,3620.957614,0,24,31,3620.957614,3455.764525
199,3365.752301,1,20,40,3518.079461,3365.752301
200,3674.681016,0,28,15,3674.681016,3473.491143
201,3858.004846,1,23,72,3858.31998,3858.004846
202,3736.334497,0,25,42,3736.334497,3636.183636
203,3881.349956,0,29,35,3881.349956,3809.873353
204,3931.140078,0,29,40,3931.140078,3852.188919
205,3259.649886,1,18,39,3406.699021,3259.649886
206,3568.75575,0,20,50,3568.75575,3452.925367
207,3112.659304,1,19,20,3319.901518,3112.659304
208,3560.069762,0,23,29,3560.069762,3386.603857
209,4010.506938,0,33,21,4010.506938,3891.489678
210,3275.233959,1,20,32,3426.765387,3275.233959
211,3618.964092,0,25,25,3618.964092,3450.069142
212,3745.334644,0,29,16,3745.334644,3575.63646
213,3437.490086,0,19,38,3437.490086,3290.966886
214,3018.343681,1,18,15,3254.670633,3018.343681
215,3566.073149,0,20,50,3566.073149,3449.703302
216,3898.777028,0,31,22,3898.777028,3766.682603
217,3629.306056,0,27,13,3629.306056,3451.754924
218,4030.359299,1,28,60,4022.155106,4030.359299
219,4540.916828,0,38,40,4540.916828,4498.104146
220,3743.371376,0,25,42,3743.371376,3633.468441
221,3406.461728,0,19,32,3406.461728,3237.989016
222,3393.355619,0,17,40,3393.355619,3219.460724
223,3869.933241,0,28,34,3869.933241,3726.784381
224,3717.553106,0,27,27,3717.553106,3586.13867
225,3814.454006,0,28,30,3814.454006,3709.307799
226,3526.653885,0,26,7,3526.653885,3290.817525
227,3959.418233,0,30,34,3959.418233,3786.635489
228,4311.943403,0,36,30,4311.943403,4223.951699
229,3782.360019,0,31,6,3782.360019,3558.017697
230,3709.307415,0,27,25,3709.307415,3553.543047
231,3281.460748,1,20,33,3455.816809,3281.460748
232,4174.988121,0,36,14,4174.988121,4015.626435
233,3590.384742,0,27,8,3590.384742,3369.00617
234,3677.942976,0,18,75,3677.942976,3585.359784
235,3172.162941,1,19,26,3364.252012,3172.162941
236,4010.651305,1,34,25,4121.383341,4010.651305
237,3730.619715,0,25,40,3730.619715,3617.476098
238,3473.493967,0,24,14,3473.493967,3292.770013
239,4325.687209,1,40,15,4483.293484,4325.687209
240,3596.247008,0,21,50,3596.247008,3517.401299
241,3270.881762,1,20,30,3426.746372,3270.881762
242,4223.763201,0,37,11,4223.763201,4062.044439
243,3627.99645,0,20,58,3627.99645,3538.790742
244,3525.94191,0,23,27,3525.94191,3378.478203
245,3746.132799,0,25,42,3746.132799,3630.594276
246,4046.991548,0,34,14,4046.991548,3856.903102
247,3319.493785,0,19,18,3319.493785,3102.084853
248,3278.241471,0,18,20,3278.241471,3078.937833
249,3582.516791,0,21,46,3582.516791,3456.066481
250,3316.897023,1,17,50,3466.472111,3316.897023
251,4053.403266,0,31,40,4053.403266,3983.654849
252,3368.260135,1,21,35,3509.550645,3368.260135
253,3905.024662,0,26,57,3905.024662,3855.898195
254,3859.432986,0,29,30,3859.432986,3744.037608
255,3577.558721,1,18,75,3637.463324,3577.558721
256,3507.026423,0,20,40,3507.026423,3353.926555
257,3672.585373,1,29,25,3832.919569,3672.585373
258,3620.16011,0,25,26,3620.16011,3463.593917
259,3540.232477,0,21,41,3540.232477,3423.032345
260,3619.285494,1,28,25,3772.942681,3619.285494
261,3897.773845,0,29,35,3897.773845,3810.587242
262,3554.415833,0,21,42,3554.415833,3422.414022
263,3605.246064,0,24,31,3605.246064,3452.154661
264,3817.843116,1,23,70,3848.600861,3817.843116
265,3544.479567,1,25,34,3692.467371,3544.479567
266,4545.783596,0,37,49,4545.783596,4578.219844
267,3586.454897,0,20,53,3586.454897,3483.731426
268,3212.588006,1,19,30,3407.459901,3212.588006
269,3472.202965,0,21,30,3472.202965,3305.258199
270,3718.704192,0,26,32,3718.704192,3624.871936
271,3995.137675,0,30,39,3995.137675,3898.045385
272,3317.139334,1,20,35,3454.914398,3317.139334
273,3495.099056,0,20,40,3495.099056,3347.651118
274,3878.367912,0,30,25,3878.367912,3734.312675
275,3388.457759,0,18,34,3388.457759,3211.946354
276,3791.610199,0,29,23,3791.610199,3664.80175
277,3455.330815,1,22,38,3572.234951,3455.330815
278,3671.614093,1,19,77,3717.99172,3671.614093
279,4113.04581,0,30,53,4113.04581,4083.923474
280,3339.557336,1,19,43,3489.783035,3339.557336
281,3146.373494,1,17,30,3330.281163,3146.373494
282,3668.013025,0,25,32,3668.013025,3524.752004
283,3311.151226,1,21,30,3466.958469,3311.151226
284,3248.596659,0,16,25,3248.596659,3049.261418
285,3183.744795,1,19,26,3356.931269,3183.744795
286,3588.526039,0,23,34,3588.526039,3442.06779
287,3354.639084,1,24,20,3531.731464,3354.639084
288,3977.012463,1,31,40,4052.324561,3977.012463
289,3763.111468,0,28,25,3763.111468,3593.949072
290,3833.784597,0,24,63,3833.784597,3814.031088
291,3867.20772,1,32,25,4005.681971,3867.20772
292,3450.279227,0,19,39,3450.279227,3299.542658
293,3652.763747,1,23,55,3741.370526,3652.763747
294,3859.171475,0,28,37,3859.171475,3735.753841
295,3539.029485,0,19,50,3539.029485,3412.354978
296,3441.139958,1,21,43,3558.693838,3441.139958
297,3298.293568,0,17,26,3298.293568,3089.558081
298,3289.962228,0,14,39,3289.962228,3113.75822
299,3812.268026,0,28,30,3812.268026,3671.068292
300,3708.500466,0,29,8,3708.500466,3472.398148
301,3485.332238,0,22,26,3485.332238,3308.407674
302,4004.204003,0,30,40,4004.204003,3918.992256
303,3746.444865,0,28,22,3746.444865,3556.500467
304,3404.809685,0,19,30,3404.809685,3222.827116
305,3791.519206,0,26,40,3791.519206,3670.252837
306,3770.46369,0,28,25,3770.46369,3616.590283
307,3393.106642,0,19,30,3393.106642,3186.463752
308,3353.42188,1,21,36,3489.633455,3353.42188
309,3434.970877,0,20,32,3434.970877,3275.526476
310,4089.637664,0,31,44,4089.637664,4044.335347
311,3535.819421,1,21,52,3627.040164,3535.819421
312,3780.574369,0,28,28,3780.574369,3645.770701
313,4222.892163,0,35,28,4222.892163,4129.416555
314,3369.642538,1,24,23,3559.907025,3369.642538
315,3504.393349,0,24,16,3504.393349,3299.78372
316,3601.600331,0,21,50,3601.600331,3489.937321
317,3471.165266,1,21,45,3573.879991,3471.165266
318,3380.512088,0,20,25,3380.512088,3185.788563
319,3282.634399,0,16,29,3282.634399,3100.4175
320,4181.098225,0,34,30,4181.098225,4082.389162
321,3504.447979,0,23,24,3504.447979,3342.620958
322,3783.5768,0,26,40,3783.5768,3654.21215
323,3579.586158,0,22,39,3579.586158,3455.635599
324,3210.134104,1,21,20,3396.808307,3210.134104
325,3027.660795,1,19,13,3269.268142,3027.660795
326,3983.279496,0,29,45,3983.279496,3927.969363
327,4127.560222,0,34,24,4127.560222,3983.477914
328,3606.326227,1,21,60,3691.549977,3606.326227
329,3483.990111,1,21,49,3593.345556,3483.990111
330,4037.294162,0,30,45,4037.294162,3944.732791
331,3443.657256,0,23,15,3443.657256,3226.345516
332,3121.951649,1,19,20,3325.204556,3121.951649
333,3878.857535,0,30,25,3878.857535,3743.840858
334,4210.738855,0,34,34,4210.738855,4120.161686
335,3858.012812,0,24,65,3858.012812,3818.631518
336,3456.037123,0,19,40,3456.037123,3301.02379
337,3749.167745,0,24,50,3749.167745,3670.672732
338,3580.346746,0,21,46,3580.346746,3459.697493
339,3754.493592,0,28,23,3754.493592,3601.012859
340,3312.652512,1,19,40,3449.240008,3312.652512
341,3235.56463,1,17,40,3386.383969,3235.56463
342,3858.195343,0,28,33,3858.195343,3720.582946
343,3777.30199,0,28,24,3777.30199,3614.319719
344,4008.648001,0,33,19,4008.648001,3860.130761
345,3542.600083,0,21,40,3542.600083,3392.947003
346,3460.898428,1,21,41,3522.861562,3460.898428
347,3572.523836,0,23,35,3572.523836,3442.724886
348,3737.824869,0,27,28,3737.824869,3583.645365
349,3429.718793,1,23,33,3575.030255,3429.718793
350,3756.35846,1,31,22,3914.122888,3756.35846
351,3753.675227,0,27,30,3753.675227,3597.640094
352,3636.198008,0,24,35,3636.198008,3515.083289
353,3792.003412,0,28,28,3792.003412,3659.929633
354,3518.557448,1,28,15,3697.489712,3518.557448
355,3962.597212,1,31,43,4091.210831,3962.597212
356,3395.768507,0,17,41,3395.768507,3269.161094
357,3603.082271,0,23,38,3603.082271,3486.622639
358,3555.406006,0,26,12,3555.406006,3341.875009
359,3831.429783,0,30,19,3831.429783,3664.241273
360,3556.730007,0,19,55,3556.730007,3460.000474
361,3363.49615,1,20,40,3509.822088,3363.49615
362,3663.703929,0,28,8,3663.703929,3418.351456
363,3760.629271,0,28,25,3760.629271,3626.332984
364,3713.960807,0,25,40,3713.960807,3623.394297
365,3818.443921,0,26,45,3818.443921,3702.729513
366,3399.918912,1,21,40,3548.883011,3399.918912
367,3709.192176,1,27,38,3817.079612,3709.192176
368,3964.303188,0,28,50,3964.303188,3882.275137
369,4319.074378,0,30,80,4319.074378,4422.090053
370,3399.402285,1,21,40,3542.776508,3399.402285
371,4478.284656,0,38,32,4478.284656,4405.122073
372,3238.235065,1,20,28,3421.91803,3238.235065
373,3464.30184,0,21,29,3464.30184,3304.781088
374,3498.82439,1,17,70,3591.897215,3498.82439
375,3736.397723,0,24,48,3736.397723,3640.063428
376,3238.074121,0,17,15,3238.074121,3005.801635
377,3250.012422,1,24,10,3451.144645,3250.012422
378,4020.366333,0,29,50,4020.366333,3966.897572
379,3773.300291,0,29,20,3773.300291,3609.486924
380,3959.658516,0,30,35,3959.658516,3864.727096
381,3862.944191,0,25,60,3862.944191,3839.342625
382,3186.944905,0,16,16,3186.944905,2973.449704
383,3929.861576,0,33,8,3929.861576,3743.701616
384,3676.415077,0,26,28,3676.415077,3542.297979
385,4131.782817,0,34,25,4131.782817,4009.073169
386,3869.76818,0,30,24,3869.76818,3729.473718
387,4062.952428,0,31,40,4062.952428,3998.620365
388,3641.794426,0,25,30,3641.794426,3509.305053
389,3934.129768,0,25,67,3934.129768,3911.570105
390,3443.858683,0,21,27,3443.858683,3274.890631
391,4650.248575,0,41,26,4650.248575,4559.455857
392,4185.455287,0,33,40,4185.455287,4120.179933
393,3694.331892,0,29,10,3694.331892,3511.61511
394,3491.422841,0,17,55,3491.422841,3371.090701
395,3731.965567,0,28,20,3731.965567,3574.093611
396,4022.473672,0,31,36,4022.473672,3936.711604
397,3415.305917,0,19,32,3415.305917,3241.990185
398,3822.117677,0,29,26,3822.117677,3682.332243
399,3852.250417,0,25,55,3852.250417,3774.42915
400,3735.90076,0,24,48,3735.90076,3626.08143
401,4070.799031,0,33,25,4070.799031,3936.918616
402,4036.7672,0,33,22,4036.7672,3898.336777
403,4005.719562,0,31,31,4005.719562,3890.953886
404,3876.35599,0,31,18,3876.35599,3727.965985
405,3748.470923,0,30,8,3748.470923,3538.8653
406,3640.809901,0,23,45,3640.809901,3549.654224
407,3455.779535,0,22,23,3455.779535,3309.804298
408,3676.480355,0,25,34,3676.480355,3558.182104
409,3429.174654,0,20,30,3429.174654,3248.527057
410,4072.267879,0,33,26,4072.267879,3937.016819
411,3125.539575,1,19,22,3332.751408,3125.539575
412,4190.169399,0,31,57,4190.169399,4188.676877
413,3826.054666,0,29,24,3826.054666,3653.512926
414,3949.312645,0,31,27,3949.312645,3789.870814
415,3986.712016,0,28,50,3986.712016,3870.154643
416,3524.611762,0,21,37,3524.611762,3360.870501
417,3648.64254,0,24,35,3648.64254,3520.206498
418,3599.962329,0,24,29,3599.962329,3437.580449
419,3736.778455,1,25,52,3813.022542,3736.778455
420,3477.291051,0,21,31,3477.291051,3328.216906
421,4174.338584,0,34,30,4174.338584,4074.036256
422,3301.977084,1,19,38,3451.779726,3301.977084
423,3387.98032,0,16,45,3387.98032,3245.328764
424,3705.081846,0,24,45,3705.081846,3615.270654
425,4008.515624,0,29,49,4008.515624,3987.668918
426,3737.862409,1,27,40,3829.731533,3737.862409
427,4094.08379,0,31,45,4094.08379,4040.586777
428,4483.002728,0,36,50,4483.002728,4479.97473
429,3983.500635,0,29,45,3983.500635,3897.627131
430,3386.276667,0,17,40,3386.276667,3218.377997
431,3168.895148,1,18,30,3353.098643,3168.895148
432,4105.79191,0,31,43,4105.79191,4045.209933
433,3640.864981,0,25,30,3640.864981,3501.740691
434,3431.94115,0,20,30,3431.94115,3284.844843
435,3407.612009,0,18,37,3407.612009,3236.602447
436,3395.925184,0,21,18,3395.925184,3178.233812
437,3752.563163,0,26,37,3752.563163,3636.809256
438,3466.649363,0,17,52,3466.649363,3327.427965
439,3803.934699,0,26,42,3803.934699,3685.500791
440,4016.551213,1,32,35,4114.435866,4016.551213
441,3327.109436,0,19,22,3327.109436,3133.413794
442,3648.501309,0,27,15,3648.501309,3436.116165
443,3945.862976,0,31,25,3945.862976,3824.958854
444,3492.124877,0,23,22,3492.124877,3306.166924
445,4000.077189,0,30,40,4000.077189,3917.32091
446,3376.929654,0,18,34,3376.929654,3216.784759
447,3887.479533,0,28,40,3887.479533,3795.915942
448,3652.20346,0,23,44,3652.20346,3537.879141
449,3496.422214,0,19,45,3496.422214,3358.456577
450,3744.351457,0,25,40,3744.351457,3640.988452
451,3194.175249,1,21,20,3388.946361,3194.175249
452,3290.289041,0,18,20,3290.289041,3094.443917
453,3528.408975,0,23,26,3528.408975,3357.390763
454,3128.483035,1,16,34,3320.857524,3128.483035
455,3237.633827,0,16,22,3237.633827,3047.926243
456,3550.125023,0,21,40,3550.125023,3416.990559
457,4432.612076,0,37,34,4432.612076,4354.704034
458,3592.925559,0,24,30,3592.925559,3422.966027
459,3639.125266,0,27,15,3639.125266,3443.017918
460,3143.877914,1,18,25,3330.073015,3143.877914
461,4132.829778,0,31,50,4132.829778,4080.051501
462,3355.271892,1,20,40,3488.636721,3355.271892
463,3468.088489,0,21,30,3468.088489,3310.391056
464,4191.495125,0,33,41,4191.495125,4138.86422
465,3529.689946,1,22,46,3616.543871,3529.689946
466,3492.557785,0,23,20,3492.557785,3299.172748
467,3713.418098,0,26,33,3713.418098,3585.052384
468,3536.624749,0,19,51,3536.624749,3413.115107
469,3944.062141,0,30,33,3944.062141,3839.482458
470,3529.261832,0,25,15,3529.261832,3352.81146
471,3686.824403,0,21,60,3686.824403,3606.086378
472,3652.100722,1,26,38,3760.683354,3652.100722
473,3327.443492,0,15,40,3327.443492,3141.683924
474,3544.903621,1,30,9,3742.310033,3544.903621
475,3488.962093,0,21,35,3488.962093,3366.463643
476,3632.146669,0,21,51,3632.146669,3514.803849
477,3849.766349,0,26,50,3849.766349,3791.323949
478,3519.817907,0,17,60,3519.817907,3436.069181
479,3214.440292,1,17,40,3393.914685,3214.440292
480,3882.80038,0,30,25,3882.80038,3727.807937
481,4352.319026,0,35,42,4352.319026,4321.074599
482,3545.01465,0,25,18,3545.01465,3368.251292
483,3692.538655,1,29,24,3815.578143,3692.538655
484,3461.443499,1,21,45,3575.012273,3461.443499
485,3556.619789,1,23,45,3669.768636,3556.619789
486,3336.972261,0,16,38,3336.972261,3169.882151
487,3715.734327,1,23,60,3787.818427,3715.734327
488,3758.945504,0,25,42,3758.945504,3629.200167
489,4776.090823,0,42,30,4776.090823,4700.310658
490,3429.255105,0,20,30,3429.255105,3252.181138
491,3545.183232,0,19,50,3545.183232,3417.289185
492,3581.78844,0,20,50,3581.78844,3451.255152
493,3950.800392,0,32,23,3950.800392,3839.471656
494,3590.801919,0,24,29,3590.801919,3448.395413
495,3268.679139,1,21,28,3449.1508,3268.679139
496,3669.289347,0,24,40,3669.289347,3552.31146
497,3854.003901,0,29,30,3854.003901,3734.249017
498,3318.100213,1,24,17,3509.600993,3318.100213
499,3627.007753,0,23,40,3627.007753,3498.748105
500,3746.429585,0,25,42,3746.429585,3626.996072
501,3475.045911,1,20,50,3582.224174,3475.045911
502,3824.280058,0,31,12,3824.280058,3631.901152
503,3535.414026,0,27,3,3535.414026,3307.767046
504,3660.339727,0,25,32,3660.339727,3530.426819
505,3466.758381,0,20,36,3466.758381,3327.539191
506,3521.689166,0,22,30,3521.689166,3357.784369
507,3459.870967,0,16,54,3459.870967,3306.885222
508,3485.19072,0,20,40,3485.19072,3350.945233
509,3837.288467,0,29,27,3837.288467,3668.525186
510,3762.260112,0,25,45,3762.260112,3683.871766
511,3922.679465,1,30,39,3996.097789,3922.679465
512,4129.773247,0,32,40,4129.773247,4045.196638
513,3632.824615,0,24,34,3632.824615,3507.102806
514,3685.318686,0,25,35,3685.318686,3564.657019
515,3725.501833,0,26,35,3725.501833,3629.674899
516,3907.7774,0,30,30,3907.7774,3782.689948
517,3344.923695,1,18,46,3458.266157,3344.923695
518,4006.666206,0,22,98,4006.666206,4052.660089
519,3362.183085,0,20,20,3362.183085,3160.311696
520,3680.953949,0,24,40,3680.953949,3567.284513
521,4031.325753,0,32,30,4031.325753,3940.305865
522,3645.369109,0,25,28,3645.369109,3477.951566
523,4150.276625,0,31,50,4150.276625,4121.07344
524,3765.109758,0,26,40,3765.109758,3677.794676
525,3972.380318,1,32,35,4088.1481,3972.380318
526,3669.050635,0,28,13,3669.050635,3480.112833
527,3911.491672,0,29,38,3911.491672,3830.234154
528,3345.74096,1,20,39,3503.252113,3345.74096
529,3018.546435,1,19,12,3261.181744,3018.546435
530,3612.395906,0,23,37,3612.395906,3477.44862
531,3334.975909,0,20,17,3334.975909,3127.404596
532,3493.127003,0,20,40,3493.127003,3351.144347
533,3613.989923,1,25,40,3697.452138,3613.989923
534,3488.646608,1,23,40,3632.768093,3488.646608
535,3356.866838,0,19,25,3356.866838,3199.953752
536,2971.725196,1,18,10,3233.569416,2971.725196
537,3464.735267,1,21,45,3576.271474,3464.735267
